pub_id,Year,Title,Source,ISSN,DOI,EID,quartile,escuelas,docentes
2-s2.0-84923010501,2015,Improving the blind restoration of retinal images by means of point-spread-function estimation assessment,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,16057422,10.1117/12.2073820,2-s2.0-84923010501,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-84923034034,2015,Speckle reduction in echocardiography by temporal compounding and anisotropic diffusion filtering,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,16057422,10.1117/12.2070634,2-s2.0-84923034034,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
2-s2.0-84923039912,2014,Change detection in Very High Resolution multisensor optical images,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.2068171,2-s2.0-84923039912,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['YADY TATIANA SOLANO CORREA']
2-s2.0-84924386366,2015,Duality invariance in massive theories,"Physical Review D - Particles, Fields, Gravitation and Cosmology",15507998,10.1103/PhysRevD.91.064015,2-s2.0-84924386366,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['DAVID SIERRA PORTA']
2-s2.0-84926368744,2014,Thermoeconomic indicators ofair conditioning in a river ship to change the configuration of their thermal insulation,,,10.1115/IMECE201438334,2-s2.0-84926368744,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JUAN GABRIEL FAJARDO CUADRO']
2-s2.0-84929847319,2014,Advancements and challenges for implementing telemedicine and other information technologies (TICs); Avances y retos para implementar la telemedicina y otras tecnologias de la informacion (TICs),Salud Uninorte,01205552,,2-s2.0-84929847319,Q4,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['CESAR AUGUSTO VILORIA NUÑEZ']
2-s2.0-84930670379,2015,In silico antibacterial activity modeling based on the TOMOCOMD-CARDD approach,Journal of the Brazilian Chemical Society,01035053,10.5935/0103-5053.20150087,2-s2.0-84930670379,Q3,['CIENCIAS BÁSICAS'],['ROSA LEONOR ACEVEDO BARRIOS']
2-s2.0-84930987033,2014,A vision-based system for the dynamic measurement of in-plane displacements,,,10.1109/CIIMA.2014.6983467,2-s2.0-84930987033,SQ,"['CIENCIAS BÁSICAS', 'ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']","['ANDRES GUILLERMO MARRUGO HERNANDEZ', 'LENNY ALEXANDRA ROMERO PEREZ']"
2-s2.0-84930988956,2014,Design of a brushed DC motors PID controller for development of low-cost robotic applications,,,10.1109/CIIMA.2014.6983471,2-s2.0-84930988956,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-84930988957,2014,Design of an electrogoniometer based on accelerometers for the evaluation of sports gesture in weight lifting,,,10.1109/CIIMA.2014.6983436,2-s2.0-84930988957,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['SONIA HELENA CONTRERAS ORTIZ']
2-s2.0-84930989292,2014,Design and construction of a Power Meter to optimize usage of the Electric Power,,,10.1109/CIIMA.2014.6983441,2-s2.0-84930989292,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84930989293,2014,Study of the lower limp's angle during weightlifting exercises using an accelerometer-based system,,,10.1109/CIIMA.2014.6983443,2-s2.0-84930989293,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-84930995211,2014,Using close range photogrammetric method to estimate kinetic variables in olympic-style weightlifting,,,10.1109/CIIMA.2014.6983439,2-s2.0-84930995211,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO', 'ESCUELA DE TRANSFORMACIÓN DIGITAL']","['JUAN CARLOS MARTINEZ SANTOS', 'LUZ ALEJANDRA MAGRE COLORADO']"
2-s2.0-84930999583,2014,Implementation of an image based focusing algorithm for non-mydriatic retinal imaging,,,10.1109/CIIMA.2014.6983425,2-s2.0-84930999583,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
