"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Mellado, C.; Blanchett, N.; Stepińska, A.; Mothes, C.; Lecheler, S.; Blanco-Herrero, D.; Chen, Y.-N.K.; Cohen, A.; Davydov, S.; de Maio, M.; Dingerkus, F.; Elhamy, H.; Garcés-Prettel, M.G.; Gousset, C.; C Hallin, D.; Humanes, M.L.; Himma-Kadakas, M.; Kozman, C.; Lee, M.; Lin, C.I.-H.; Márquez-Ramírez, M.; Maza-Cordova, J.; McGuinness, K.; McIntyre, K.; Mick, J.; Milojević, A.; Navarro, C.; Olivera, D.; Pizarro, M.; Sarasqueta, G.; Silke, H.; Skjerdal, T.; Stanziano, A.; Szabó, G.; VanLeuven, S.; Zhao, X.","Mellado, Claudia (24504020400); Blanchett, Nicole (57218135615); Stepińska, Agnieszka (55445081400); Mothes, Cornelia (56600541200); Lecheler, Sophie K. (26036187400); Blanco-Herrero, David (57211948447); Chen, Yi Ning Katherine (15847687100); Cohen, Akiba A. (57000746000); Davydov, Sergey G. (40461202600); de Maio, Mariana (57156173100); Dingerkus, Filip (57193154867); Elhamy, Hossam Mohamed (58213110300); Garcés-Prettel, Miguel Efrén (57193012270); Gousset, Cyriac (57924161300); C Hallin, Daniel (58244279000); Humanes, María Luisa (55505896600); Himma-Kadakas, Marju (57189261905); Kozman, Claudia (57193141636); Lee, Misook (57200427121); Lin, Christi I.Hsuan (58243959600); Márquez-Ramírez, Mireya (57193011223); Maza-Cordova, Jorge (57201524040); McGuinness, Kieran (57223925797); McIntyre, Karen Elizabeth (57189991616); Mick, Jacques (57195683569); Milojević, Ana M. (55857868600); Navarro, Cristina (56372571900); Olivera, Dasniel (58243468800); Pizarro, Marcela F. (57223089108); Sarasqueta, Gonzalo (57221460707); Silke, Henry (56560058100); Skjerdal, Terje Steinulfsson (35249359100); Stanziano, Anna (57194209049); Szabó, Gabriella (43461961100); VanLeuven, Sarah (58244441100); Zhao, Xin (57207855033)","24504020400; 57218135615; 55445081400; 56600541200; 26036187400; 57211948447; 15847687100; 57000746000; 40461202600; 57156173100; 57193154867; 58213110300; 57193012270; 57924161300; 58244279000; 55505896600; 57189261905; 57193141636; 57200427121; 58243959600; 57193011223; 57201524040; 57223925797; 57189991616; 57195683569; 55857868600; 56372571900; 58243468800; 57223089108; 57221460707; 56560058100; 35249359100; 57194209049; 43461961100; 58244441100; 57207855033","Does News Platform Matter? Comparing Online Journalistic Role Performance to Newspaper, Radio, and Television","2024","Digital Journalism","12","3","","376","399","0","19","10.1080/21670811.2023.2191332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158984372&doi=10.1080%2F21670811.2023.2191332&partnerID=40&md5=314c3b22173ff9d21a1e9f749d6cb31b","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85158984372"
"Perilla Granados, J.S.A.","Perilla Granados, Juan Sebastian Alejandro (57023375100)","57023375100","THE RIGHTS OF ANIMALS AS SENTIENT BEINGS IN COLOMBIA; LOS DERECHOS DE LOS ANIMALES COMO SERES SINTIENTES EN COLOMBIA","2024","Anuario de la Facultad de Derecho. Universidad de Extremadura","","40","","185","204","0","1","10.17398/2695-7728.40.185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005183520&doi=10.17398%2F2695-7728.40.185&partnerID=40&md5=1c4ac60df7ee5cdc71fafb3b5371c585","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105005183520"
"Dominguez-Jimenez, J.A.; Sabir, S.; Henao, N.; Agbossou, K.; Oviedo, J.C.; Campillo, J.","Dominguez-Jimenez, J. A. (56682770100); Sabir, Sameer (57202961427); Henao, Nilson (55366621800); Agbossou, Kodjo A. (56238417000); Oviedo, Juan C. (56396406900); Campillo, Javier E. (55609096600)","56682770100; 57202961427; 55366621800; 56238417000; 56396406900; 55609096600","ORFLEX: Open Platform for Rapid Testing and Deploying Local Flexibility Markets","2024","IECON Proceedings (Industrial Electronics Conference)","","","","","","0","1","10.1109/IECON55916.2024.10905357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000988045&doi=10.1109%2FIECON55916.2024.10905357&partnerID=40&md5=c7d92736ffac5d61e11f202d744b0b7a","Conference paper","Final","","Scopus","2-s2.0-105000988045"
"Marrugo, A.G.","Marrugo, Andrés G. (24329839300)","24329839300","Navigating the waters of academic publishing: Insights from a graduate writing course","2023","Transactions on Energy Systems and Engineering Applications","4","2","603","","","0","0","10.32397/tesea.vol4.n2.603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181484034&doi=10.32397%2Ftesea.vol4.n2.603&partnerID=40&md5=15943150286f064c05e0bfc4b1449f3e","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181484034"
"Sierra-Sánchez, A.; Coronado-Hernández, O.E.; Paternina-Verona, D.A.; Gatica, G.; M Ramos, H.M.","Sierra-Sánchez, Alexandra (58795356300); Coronado-Hernández, Oscar E. (57193337460); Paternina-Verona, Duban A. (57327599900); Gatica, Gustavo (55621116300); M Ramos, Helena Margarida (35568240000)","58795356300; 57193337460; 57327599900; 55621116300; 35568240000","Statistical Analysis to Quantify the Impact of Map Type on Estimating Peak Discharge in Non-Instrumented Basins","2023","Transactions on Energy Systems and Engineering Applications","4","2","522","","","0","4","10.32397/tesea.vol4.n2.522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181481716&doi=10.32397%2Ftesea.vol4.n2.522&partnerID=40&md5=4c5079bd443af5d823a0734c3cfcad8a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181481716"
"Lasanta, C.; Moreno, J.; Muñoz-Castells, R.; Arnedo, R.; Medina, P.; Villa, M.; Gómez Benítez, J.","Lasanta, Cristina (8577565500); Moreno, Juan José (34571681600); Muñoz-Castells, Raquel (57976788200); Arnedo, Rafael (57221226110); Medina, Paola (58875098500); Villa, Miguel (58874912400); Gómez Benítez, Juan (55759511781)","8577565500; 34571681600; 57976788200; 57221226110; 58875098500; 58874912400; 55759511781","Production of low alcohol wines with biological ageing in the south of Spain. Current results and future perspectives; Elaboración de vinos de crianza biológica de grado alcohólico reducido en el sur de España. Resultados actuales y perspectivas de futuro","2023","BIO Web of Conferences","68","","02007","","","0","0","10.1051/bioconf/20236802007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184576020&doi=10.1051%2Fbioconf%2F20236802007&partnerID=40&md5=66d0838574f4aa1d518bb310041a3ea7","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184576020"
"Viloria-Nuñez, C.; Tovar, M.; Millán-de Lange, A.C.","Viloria-Nuñez, Cesar (35788581800); Tovar, Marcela (58763412000); Millán-de Lange, Anthony Constant (59158215100)","35788581800; 58763412000; 59158215100","Digital archetypes: a tool for understanding personality characteristics in the digital culture","2023","Humanities and Social Sciences Communications","10","1","952","","","0","5","10.1057/s41599-023-02327-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179680072&doi=10.1057%2Fs41599-023-02327-0&partnerID=40&md5=30c21e8b04c755c8d63b501ab07f63d0","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179680072"
"Cuadrado, J.; Martinez, E.; Puertas, E.; Martinez-Santos, J.C.","Cuadrado, Juan (57422728000); Martinez, Elizabeth (58459662800); Puertas, Edwin (57202285682); Martinez-Santos, Juan Carlos (26325154200)","57422728000; 58459662800; 57202285682; 26325154200","Long-Term Effects of Degradation on Photovoltaic System Return on Investment","2023","IEEE Latin America Transactions","21","12","","1282","1290","0","2","10.1109/TLA.2023.10305232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176440059&doi=10.1109%2FTLA.2023.10305232&partnerID=40&md5=c777bce5fa3c4b856febf83c4ea0f4de","Article","Final","","Scopus","2-s2.0-85176440059"
"Tarazona-Alvarado, M.; Sierra-Porta, D.","Tarazona-Alvarado, Miguel (57549522400); Sierra-Porta, D. (57191333650)","57549522400; 57191333650","Dataset for Sun dynamics from topological features","2023","Data in Brief","51","","109728","","","0","3","10.1016/j.dib.2023.109728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175419072&doi=10.1016%2Fj.dib.2023.109728&partnerID=40&md5=a1762867f9f271ad9303ce2bc2843df0","Data paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85175419072"
"Fajardo Cuadro, J.G.; Negrette, C.; Yabrudy, D.; Barreto, D.; Cardona, C.","Fajardo Cuadro, Juan Gabriel (56581610900); Negrette, Camilo (57449143900); Yabrudy, Daniel (57222075738); Barreto, Deibys (57190756815); Cardona, Camilo (57214332256)","56581610900; 57449143900; 57222075738; 57190756815; 57214332256","Maintenance Strategy of a Preheat Train of a Crude Oil Distillation Unit Based on Exergy and Exergoeconomic Analysis","2023","Journal of Energy Resources Technology","145","12","121702","","","0","2","10.1115/1.4062713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175086876&doi=10.1115%2F1.4062713&partnerID=40&md5=dee891836c679f395a072a98e57c3a5a","Article","Final","","Scopus","2-s2.0-85175086876"
